"","DateTime","Vehicles"
"322","2016-09-17",3000
"323","2016-09-18",2872
"324","2016-09-19",3445
"325","2016-09-20",3505
"326","2016-09-21",3592
"327","2016-09-22",3507
"328","2016-09-23",3577
"329","2016-09-24",3353
"330","2016-09-25",3249
"331","2016-09-26",3716
"332","2016-09-27",3597
"333","2016-09-28",3666
"334","2016-09-29",3525
"335","2016-09-30",3602
"336","2016-10-01",2977
"337","2016-10-02",3015
"338","2016-10-03",3515
"339","2016-10-04",3568
"340","2016-10-05",3409
"341","2016-10-06",3381
"342","2016-10-07",3199
"343","2016-10-08",2774
"344","2016-10-09",2788
"345","2016-10-10",3357
"346","2016-10-11",3233
"347","2016-10-12",3409
"348","2016-10-13",3512
"349","2016-10-14",3602
"350","2016-10-15",3210
"351","2016-10-16",2887
"352","2016-10-17",3595
"353","2016-10-18",3619
"354","2016-10-19",3942
"355","2016-10-20",3828
"356","2016-10-21",3907
"357","2016-10-22",3299
"358","2016-10-23",3180
"359","2016-10-24",3664
"360","2016-10-25",3580
"361","2016-10-26",3625
"362","2016-10-27",3663
"363","2016-10-28",3438
"364","2016-10-29",2794
"365","2016-10-30",2683
"366","2016-10-31",3249
"367","2016-11-01",3392
"368","2016-11-02",3475
"369","2016-11-03",3530
"370","2016-11-04",3386
"371","2016-11-05",2926
"372","2016-11-06",2931
"373","2016-11-07",3610
"374","2016-11-08",3578
"375","2016-11-09",3293
"376","2016-11-10",3457
"377","2016-11-11",3255
"378","2016-11-12",2754
"379","2016-11-13",2764
"380","2016-11-14",3486
"381","2016-11-15",3620
"382","2016-11-16",3658
"383","2016-11-17",3691
"384","2016-11-18",3571
"385","2016-11-19",3239
"386","2016-11-20",3017
"387","2016-11-21",3605
"388","2016-11-22",3591
"389","2016-11-23",3686
"390","2016-11-24",3590
"391","2016-11-25",3313
"392","2016-11-26",3277
"393","2016-11-27",2992
"394","2016-11-28",3663
"395","2016-11-29",3753
"396","2016-11-30",3756
"397","2016-12-01",3745
"398","2016-12-02",3826
"399","2016-12-03",3420
"400","2016-12-04",3049
"401","2016-12-05",3734
"402","2016-12-06",3734
"403","2016-12-07",3801
"404","2016-12-08",3691
"405","2016-12-09",3608
"406","2016-12-10",3101
"407","2016-12-11",2929
"408","2016-12-12",3493
"409","2016-12-13",3635
"410","2016-12-14",3813
"411","2016-12-15",3862
"412","2016-12-16",3491
"413","2016-12-17",3213
"414","2016-12-18",3094
"415","2016-12-19",3660
"416","2016-12-20",3575
"417","2016-12-21",3611
"418","2016-12-22",3391
"419","2016-12-23",3080
"420","2016-12-24",2687
"421","2016-12-25",2536
"422","2016-12-26",3097
"423","2016-12-27",3230
"424","2016-12-28",3250
"425","2016-12-29",3313
"426","2016-12-30",3144
"427","2016-12-31",2659
"428","2017-01-01",2984
"429","2017-01-02",3886
"430","2017-01-03",4384
"431","2017-01-04",4548
"432","2017-01-05",4542
"433","2017-01-06",4280
"434","2017-01-07",4108
"435","2017-01-08",4043
"436","2017-01-09",4756
"437","2017-01-10",4593
"438","2017-01-11",4468
"439","2017-01-12",4430
"440","2017-01-13",4192
"441","2017-01-14",3644
"442","2017-01-15",3833
"443","2017-01-16",4684
"444","2017-01-17",4655
"445","2017-01-18",4591
"446","2017-01-19",4489
"447","2017-01-20",4315
"448","2017-01-21",3799
"449","2017-01-22",3659
"450","2017-01-23",4503
"451","2017-01-24",4584
"452","2017-01-25",4372
"453","2017-01-26",4031
"454","2017-01-27",4215
"455","2017-01-28",3816
"456","2017-01-29",3631
"457","2017-01-30",4756
"458","2017-01-31",4668
"459","2017-02-01",4512
"460","2017-02-02",4741
"461","2017-02-03",4434
"462","2017-02-04",4093
"463","2017-02-05",3940
"464","2017-02-06",4625
"465","2017-02-07",4617
"466","2017-02-08",4517
"467","2017-02-09",4773
"468","2017-02-10",4800
"469","2017-02-11",3903
"470","2017-02-12",3692
"471","2017-02-13",4963
"472","2017-02-14",4434
"473","2017-02-15",4521
"474","2017-02-16",4461
"475","2017-02-17",4310
"476","2017-02-18",3978
"477","2017-02-19",3985
"478","2017-02-20",4973
"479","2017-02-21",4859
"480","2017-02-22",4793
"481","2017-02-23",5812
"482","2017-02-24",5076
"483","2017-02-25",4409
"484","2017-02-26",4024
"485","2017-02-27",4716
"486","2017-02-28",4876
"487","2017-03-01",4829
"488","2017-03-02",4711
"489","2017-03-03",4604
"490","2017-03-04",4001
"491","2017-03-05",3893
"492","2017-03-06",4582
"493","2017-03-07",4652
"494","2017-03-08",4555
"495","2017-03-09",4728
"496","2017-03-10",4522
"497","2017-03-11",3757
"498","2017-03-12",3690
"499","2017-03-13",4315
"500","2017-03-14",4786
"501","2017-03-15",4770
"502","2017-03-16",4708
"503","2017-03-17",4690
"504","2017-03-18",4218
"505","2017-03-19",3994
"506","2017-03-20",4946
"507","2017-03-21",5009
"508","2017-03-22",4986
"509","2017-03-23",4808
"510","2017-03-24",4656
"511","2017-03-25",4126
"512","2017-03-26",3876
"513","2017-03-27",4806
"514","2017-03-28",4866
"515","2017-03-29",4694
"516","2017-03-30",5056
"517","2017-03-31",4763
"518","2017-04-01",4257
"519","2017-04-02",4430
"520","2017-04-03",5020
"521","2017-04-04",4997
"522","2017-04-05",5014
"523","2017-04-06",4935
"524","2017-04-07",4564
"525","2017-04-08",4198
"526","2017-04-09",4179
"527","2017-04-10",5001
"528","2017-04-11",4980
"529","2017-04-12",4806
"530","2017-04-13",4657
"531","2017-04-14",4229
"532","2017-04-15",3910
"533","2017-04-16",3914
"534","2017-04-17",4756
"535","2017-04-18",4935
"536","2017-04-19",5290
"537","2017-04-20",5272
"538","2017-04-21",4898
"539","2017-04-22",4164
"540","2017-04-23",4154
"541","2017-04-24",5014
"542","2017-04-25",5117
"543","2017-04-26",4956
"544","2017-04-27",4856
"545","2017-04-28",4509
"546","2017-04-29",4020
"547","2017-04-30",4004
"548","2017-05-01",4381
"549","2017-05-02",4985
"550","2017-05-03",4907
"551","2017-05-04",4926
"552","2017-05-05",4705
"553","2017-05-06",3856
"554","2017-05-07",3776
"555","2017-05-08",4673
"556","2017-05-09",4900
"557","2017-05-10",4942
"558","2017-05-11",4952
"559","2017-05-12",4815
"560","2017-05-13",3949
"561","2017-05-14",3788
"562","2017-05-15",4834
"563","2017-05-16",4876
"564","2017-05-17",4833
"565","2017-05-18",4999
"566","2017-05-19",4774
"567","2017-05-20",3990
"568","2017-05-21",3838
"569","2017-05-22",5170
"570","2017-05-23",5153
"571","2017-05-24",5074
"572","2017-05-25",5077
"573","2017-05-26",4750
"574","2017-05-27",4051
"575","2017-05-28",3867
"576","2017-05-29",5029
"577","2017-05-30",5177
"578","2017-05-31",5123
"579","2017-06-01",5317
"580","2017-06-02",4967
"581","2017-06-03",4093
"582","2017-06-04",3770
"583","2017-06-05",4867
"584","2017-06-06",5464
"585","2017-06-07",5331
"586","2017-06-08",5193
"587","2017-06-09",5084
"588","2017-06-10",4060
"589","2017-06-11",3911
"590","2017-06-12",5177
"591","2017-06-13",5605
"592","2017-06-14",5426
"593","2017-06-15",5204
"594","2017-06-16",5061
"595","2017-06-17",4054
"596","2017-06-18",3829
"597","2017-06-19",5175
"598","2017-06-20",5360
"599","2017-06-21",5346
"600","2017-06-22",5779
"601","2017-06-23",5063
"602","2017-06-24",4131
"603","2017-06-25",3951
"604","2017-06-26",4876
"605","2017-06-27",5629
"606","2017-06-28",5499
"607","2017-06-29",5495
"608","2017-06-30",5283
